"Network","Decomposition","Delta_t","Delta_x","Time_Limit","Space_discr","CS_model","Objective_model","MINLP","NLP","MIQCP","CQP","Time","Objective","piter","aiter","error_p","error_q","relaxation_p","relaxation_q"
"GasLib-24-no-resistor",",","60","5000","1000","impl_euler","LP","cscost","knitro","knitro","cplex","cplex","4,4839091300964355","8,205820151831254e-07","1","1","0","0","0.07713671926565314","0.06194016129845135"
"GasLib-24-no-resistor",",,","60","5000","1000","impl_euler","LP","cscost","knitro","knitro","cplex","cplex","4,846539258956909","0,0007679718563637046","1","1","0","0","0","0"
"GasLib-24-no-resistor","","60","5000","1000","impl_euler","LP","cscost","knitro","knitro","cplex","cplex","127,3596830368042","0,13530856427712837","10","47","0.0977734030048332","0.08709001939694876","0.1","0.1"
"GasLib-24-no-resistor","N05a.N05,N09.N08","60","5000","1000","impl_euler","LP","cscost","knitro","knitro","cplex","cplex","112,9669771194458","1,7748412207107728e-09","7","34","0.09881844892903523","0.08582418235109869","0.1","0.1"
"GasLib-24-no-resistor","N06.N05b","60","5000","1000","impl_euler","LP","cscost","knitro","knitro","cplex","cplex","112,23469758033752","1,3749049868465616e-08","6","28","0.09792118366195449","0.08936302116783623","0.1","0.1"
"GasLib-24-no-resistor","N05a.N05d,N05c.N05b,N11.N09,N13.N10","60","5000","1000","impl_euler","LP","cscost","knitro","knitro","cplex","cplex","71,70422911643982","0,07794896835851603","6","26","0.09862465955557419","0.08831719134709767","0.1","0.1"
"GasLib-24-no-resistor",",","60","5000","1000","impl_euler","MIPa","cscost","knitro","knitro","cplex","cplex","88,26217532157898","0","1","1","0","0","0.09999309659246604","0.09998402472697283"
"GasLib-24-no-resistor",",,","60","5000","1000","impl_euler","MIPa","cscost","knitro","knitro","cplex","cplex","170,03451657295227","0,7291670255188373","1","1","0","0","0","0"
"GasLib-24-no-resistor","","60","5000","1000","impl_euler","MIPa","cscost","knitro","knitro","cplex","cplex","128,2406804561615","0","10","48","0.09955493389877325","0.06807159369962468","0.1","0.09999996892074532"
"GasLib-24-no-resistor","N05a.N05,N09.N08","60","5000","1000","impl_euler","MIPa","cscost","knitro","knitro","cplex","cplex","295,75536608695984","0","7","32","0.09694340130141964","0.08651506345671763","0.1","0.1"
"GasLib-24-no-resistor","N06.N05b","60","5000","1000","impl_euler","MIPa","cscost","knitro","knitro","cplex","cplex","173,4719533920288","0","6","26","0.09549573169130536","0.087489262453083","0.1","0.1"
"GasLib-24-no-resistor","N05a.N05d,N05c.N05b,N11.N09,N13.N10","60","5000","1000","impl_euler","MIPa","cscost","knitro","knitro","cplex","cplex","259,2489957809448","0","5","25","0.09951317971048518","0.07349915043063789","0.1","0.1"
"GasLib-24-no-resistor",",","60","5000","1000","impl_euler","LP","tracking","knitro","knitro","cplex","cplex","3,9815871715545654","1,185570217646248e-09","1","1","0","0","0.05057375181255333","0.04402090603493604"
"GasLib-24-no-resistor",",,","60","5000","1000","impl_euler","LP","tracking","knitro","knitro","cplex","cplex","4,68140721321106","6,305481284209638e-06","1","1","0","0","0","0"
"GasLib-24-no-resistor","","60","5000","1000","impl_euler","LP","tracking","knitro","knitro","cplex","cplex","39,06250882148743","5,6080318029359546e-05","3","13","0.08031937741949839","0.07988382003391575","0.1","0.1"
"GasLib-24-no-resistor","N05a.N05,N09.N08","60","5000","1000","impl_euler","LP","tracking","knitro","knitro","cplex","cplex","11,431199789047241","6,010138561514435e-05","1","4","0.06521148577832162","0.010351553316865061","0.1","0.09999954635866055"
"GasLib-24-no-resistor","N06.N05b","60","5000","1000","impl_euler","LP","tracking","knitro","knitro","cplex","cplex","2,8189618587493896","1,2314028254821917e-06","1","1","0.026600779950145308","0.00040645272570771215","0.09936814858630048","0.0999069442452424"
"GasLib-24-no-resistor","N05a.N05d,N05c.N05b,N11.N09,N13.N10","60","5000","1000","impl_euler","LP","tracking","knitro","knitro","cplex","cplex","7,6125829219818115","9,883959341025424e-05","1","3","0.08356902207588705","0.03889462618073812","0.1","0.1"
"GasLib-24-no-resistor",",","60","5000","1000","impl_euler","MIPa","tracking","knitro","knitro","cplex","cplex","284,9304573535919","1,2615540031525319e-05","1","1","0","0","0.09994585454598395","0.09877027400479584"
"GasLib-24-no-resistor",",,","60","5000","1000","impl_euler","MIPa","tracking","knitro","knitro","cplex","cplex","134,70346236228943","1,3296882886203783e-05","1","1","0","0","0","0"
"GasLib-24-no-resistor","","60","5000","1000","impl_euler","MIPa","tracking","knitro","knitro","cplex","cplex","66,11628317832947","0,015778962836233312","5","22","0.09920975544926061","0.06549288195566477","0.1","0.1"
"GasLib-24-no-resistor","N05a.N05,N09.N08","60","5000","1000","impl_euler","MIPa","tracking","knitro","knitro","cplex","cplex","317,82823491096497","0,005159167184425878","3","14","0.09835516590143312","0.036452987981391724","0.1","0.1"
"GasLib-24-no-resistor","N06.N05b","60","5000","1000","impl_euler","MIPa","tracking","knitro","knitro","cplex","cplex","653,7952950000763","2,20590218327298e-07","1","1","0.011200667488829566","5.532880839547913e-05","0.1","0.0998945122194378"
"GasLib-24-no-resistor","N05a.N05d,N05c.N05b,N11.N09,N13.N10","60","5000","1000","impl_euler","MIPa","tracking","knitro","knitro","cplex","cplex","21,68753671646118","5,796002771905799e-05","1","3","0.08276545225364429","0.03524568103804774","0.1","0.1"
